"","INSEE_COM","Annee","Nb_mutations","NbMaisons","NbApparts","propmaison","propappart","PrixMoyen","Prixm2Moyen","SurfaceMoy"
"17609","60148","2018",4,4,0,100,0,236518.75,2158.25,128.5
"17610","60149","2018",6,6,0,100,0,225083.333333333,2466.83333333333,99
"17611","60150","2018",8,8,0,100,0,147208.125,2109.125,79.25
"17612","60151","2018",19,19,0,100,0,297277.105263158,2889.68421052632,106.789473684211
"17613","60152","2018",1,1,0,100,0,222000,1930,115
"17614","60154","2018",12,12,0,100,0,247137.5,3023.58333333333,89.3333333333333
"17615","60155","2018",24,20,4,83.3333333333333,16.6666666666667,165520.833333333,2209.58333333333,81.375
"17616","60156","2018",12,11,1,91.6666666666667,8.33333333333333,181341.666666667,2056.41666666667,90.75
"17617","60157","2018",70,41,29,58.5714285714286,41.4285714285714,139406.428571429,1942.61428571429,75.1571428571429
"17618","60158","2018",4,4,0,100,0,102000,1398.75,78
"17619","60159","2018",265,82,183,30.9433962264151,69.0566037735849,184217.732075472,2290.72075471698,78.1584905660377
"17620","60160","2018",4,4,0,100,0,155125,1783.25,94.5
"17621","60162","2018",6,5,1,83.3333333333333,16.6666666666667,173750,2081.83333333333,87.3333333333333
"17622","60163","2018",8,8,0,100,0,111125,1341.375,84.375
"17623","60164","2018",6,6,0,100,0,179583.333333333,1895.5,95.8333333333333
"17624","60165","2018",2,2,0,100,0,195000,1911.5,104
"17625","60166","2018",6,6,0,100,0,169145.666666667,1988.66666666667,88
"17626","60167","2018",2,2,0,100,0,215275,1663,130
"17627","60168","2018",1,1,0,100,0,178000,1816,98
