,id,Polluant,polluant_url,valeur,code site,Zas,Date,Year,Month,Day,Quarter
364,,ATMO,,0,FR40006,ZR GUYANE,2018-10-29 23:00:00,2018,10,,4
365,,ATMO,,0,FR08023,ZR OCCITANIE,1970-01-01 00:00:00,1970,1,,1
366,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-04 23:00:00,2018,11,,4
367,,ATMO,,0,FR38017,ZAR VOLCAN,2018-11-11 23:00:00,2018,11,,4
368,,ATMO,,0,FR19002,ZAG RENNES,2018-09-04 23:00:00,2018,9,,3
369,,ATMO,,0,FR12020,ZR OCCITANIE,2018-01-28 23:00:00,2018,1,,1
370,,ATMO,,0,FR12015,ZR OCCITANIE,2018-04-29 23:00:00,2018,4,,2
371,,ATMO,,0,FR26005,ZAR DIJON,2018-11-07 23:00:00,2018,11,,4
372,,ATMO,,0,FR06001,ZAG BLDV,2018-11-10 23:00:00,2018,11,,4
373,,ATMO,,0,FR10004,ZAR COTE-D-OPALE,2018-11-12 13:00:00,2018,11,,4
374,,ATMO,,0,FR08003,ZAG MONTPELLIER,2018-10-31 23:00:00,2018,10,,4
375,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-11 23:00:00,2018,11,,4
376,,ATMO,,2,FR19002,ZAG RENNES,2018-10-01 23:00:00,2018,10,,4
377,,ATMO,,0,FR41001,ZAR AJACCIO,2018-01-21 23:00:00,2018,1,,1
378,,ATMO,,0,FR12004,ZAG TOULOUSE,2018-09-09 23:00:00,2018,9,,3
379,,ATMO,,0,FR07004,ZAG CLERMONT-FERRAND,2018-10-04 23:00:00,2018,10,,4
380,,ATMO,,2,FR19002,ZAG RENNES,2018-11-01 23:00:00,2018,11,,4
381,,ATMO,,0,FR41001,ZAR AJACCIO,2018-11-09 23:00:00,2018,11,,4
382,,ATMO,,0,FR40006,ZR GUYANE,2018-11-12 23:00:00,2018,11,,4
383,,ATMO,,0,FR08003,ZAG MONTPELLIER,2018-11-08 23:00:00,2018,11,,4
384,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-12 23:00:00,2018,11,,4
385,,ATMO,,0,FR38017,ZAR VOLCAN,2018-11-13 23:00:00,2018,11,,4
386,,ATMO,,0,FR22009,ZR GRAND-EST,2018-09-28 23:00:00,2018,9,,3
387,,ATMO,,0,FR22009,ZR GRAND-EST,2018-10-05 23:00:00,2018,10,,4
388,,ATMO,,0,FR22009,ZR GRAND-EST,2018-10-27 23:00:00,2018,10,,4
389,,ATMO,,0,FR82006,ZAR BESANCON,2018-11-11 23:00:00,2018,11,,4
390,,ATMO,,0,FR08003,ZAG MONTPELLIER,2018-10-31 23:00:00,2018,10,,4
391,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-13 23:00:00,2018,11,,4
392,,ATMO,,0,FR38011,ZAR VOLCAN,2018-11-14 23:00:00,2018,11,,4
393,,ATMO,,0,FR07004,ZAG CLERMONT-FERRAND,2018-10-01 23:00:00,2018,10,,4
394,,ATMO,,0,FR04002,ZAG PARIS,2018-11-08 23:00:00,2018,11,,4
395,,ATMO,,0,FR24007,ZAG NICE,2018-11-14 23:00:00,2018,11,,4
396,,ATMO,,0,FR37001,ZAG POINTE-A-PITRE,2018-11-13 23:00:00,2018,11,,4
397,,ATMO,,0,FR08003,ZAG MONTPELLIER,2018-11-09 23:00:00,2018,11,,4
398,,ATMO,,0,FR38017,ZAR VOLCAN,2018-11-15 23:00:00,2018,11,,4
399,,ATMO,,2,FR19002,ZAG RENNES,2018-10-01 23:00:00,2018,10,,4
400,,ATMO,,2,FR19002,ZAG RENNES,2018-10-15 23:00:00,2018,10,,4
401,,ATMO,,2,FR19002,ZAG RENNES,2018-10-29 23:00:00,2018,10,,4
402,,ATMO,,0,FR41001,ZAR AJACCIO,2018-11-13 23:00:00,2018,11,,4
403,,ATMO,,0,FR24007,ZAG NICE,2018-11-16 07:00:00,2018,11,,4
404,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-15 23:00:00,2018,11,,4
405,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-16 23:00:00,2018,11,,4
406,,ATMO,,0,FR20013,ZAG LYON,2018-11-09 23:00:00,2018,11,,4
407,,ATMO,,0,FR06001,ZAG BLDV,2018-11-17 06:00:00,2018,11,,4
408,,ATMO,,0,FR39017,ZAR FORT-DE-FRANCE,2018-11-17 07:00:00,2018,11,,4
409,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-16 23:00:00,2018,11,,4
410,,ATMO,,0,FR38009,ZAR SAINT-DENIS,2018-11-17 23:00:00,2018,11,,4
411,,ATMO,,0,FR23001,ZAG NANTES-SAINT-NAZAIRE,2018-11-16 23:00:00,2018,11,,4
412,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-11 23:00:00,2018,11,,4
413,,ATMO,,0,FR38016,ZAR VOLCAN,2018-11-18 23:00:00,2018,11,,4
414,,ATMO,,2,FR19002,ZAG RENNES,2018-10-08 23:00:00,2018,10,,4
415,,ATMO,,0,FR26005,ZAR DIJON,2018-10-08 23:00:00,2018,10,,4
416,,ATMO,,0,FR82006,ZAR BESANCON,2018-10-28 23:00:00,2018,10,,4
417,,ATMO,,0,FR02001,ZAG MARSEILLE-AIX,2018-11-09 23:00:00,2018,11,,4
418,,ATMO,,2,FR19002,ZAG RENNES,2018-11-14 23:00:00,2018,11,,4
419,,ATMO,,0,FR32001,ZAR CHALON,2018-11-16 06:00:00,2018,11,,4
420,,ATMO,,0,FR39009,ZAR FORT-DE-FRANCE,2018-11-18 23:00:00,2018,11,,4
421,,ATMO,,3,FR19002,ZAG RENNES,2018-11-13 23:00:00,2018,11,,4
422,,ATMO,,0,FR04023,ZAG PARIS,2018-02-12 23:00:00,2018,2,,1
423,,ATMO,,0,FR04024,ZAG PARIS,2018-03-26 23:00:00,2018,3,,1
424,,ATMO,,0,FR04024,ZAG PARIS,2018-05-06 23:00:00,2018,5,,2
425,,ATMO,,0,FR04024,ZAG PARIS,2018-06-18 09:00:00,2018,6,,2
426,,ATMO,,0,FR04031,ZAG PARIS,2018-08-03 23:00:00,2018,8,,3
427,,ATMO,,0,FR30016,ZAG NANCY,2018-10-25 23:00:00,2018,10,,4
428,,ATMO,,0,FR26005,ZAR DIJON,2018-11-12 23:00:00,2018,11,,4
429,,ATMO,,0,FR19002,ZAG RENNES,2018-11-17 23:00:00,2018,11,,4
430,,ATMO,,0,FR01011,ZAG METZ,2018-11-19 23:00:00,2018,11,,4
431,,ATMO,,0,FR24007,ZAG NICE,2018-11-20 06:00:00,2018,11,,4
432,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-18 23:00:00,2018,11,,4
433,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-20 23:00:00,2018,11,,4
434,,ATMO,,0,FR12004,ZAG TOULOUSE,2018-11-17 23:00:00,2018,11,,4
435,,ATMO,,2,FR07004,ZAG CLERMONT-FERRAND,2018-11-20 23:00:00,2018,11,,4
436,,ATMO,,0,FR15018,ZAG GRENOBLE,2018-11-21 07:00:00,2018,11,,4
437,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-20 23:00:00,2018,11,,4
438,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-21 23:00:00,2018,11,,4
439,,ATMO,,0,FR01011,ZAG METZ,2018-10-30 23:00:00,2018,10,,4
440,,ATMO,,1,FR24007,ZAG NICE,2018-10-01 23:00:00,2018,10,,4
441,,ATMO,,0,FR24007,ZAG NICE,2018-10-27 23:00:00,2018,10,,4
442,,ATMO,,0,FR01011,ZAG METZ,2018-11-12 23:00:00,2018,11,,4
443,,ATMO,,0,FR41001,ZAR AJACCIO,2018-11-17 23:00:00,2018,11,,4
444,,ATMO,,2,FR33101,ZAR PAYS-DE-SAVOIE,2018-11-21 23:00:00,2018,11,,4
445,,ATMO,,0,FR41001,ZAR AJACCIO,2018-11-22 07:00:00,2018,11,,4
446,,ATMO,,0,FR38001,ZAR SAINT-DENIS,2018-11-21 23:00:00,2018,11,,4
